circRNA	pig-testis-Testis-31	pig-testis-Testis-73	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	pig-testis-Testis-54	pig-liver-old-2	pig-testis-Testis-05	pig-testis-Testis-65	pig-testis-Testis-16	pig-liver-young-2
10:32569927-32570851:-	0	0	0	0	0	0	0	6	0	0	0
10:32569927-32576571:-	31	18	0	0	9	0	9	23	0	7	0
10:32700308-32702584:+	7	0	0	0	0	0	0	0	0	0	0
10:32800583-32819154:+	28	9	0	10	7	7	14	12	7	7	0
10:32800583-32827084:+	28	26	31	10	37	46	53	44	21	28	9
10:32817448-32824801:+	0	8	0	14	0	0	7	6	0	0	15
10:32817448-32827084:+	7	11	0	0	8	19	6	18	7	0	0
10:32855275-32866152:+	0	0	0	0	0	0	7	0	0	0	0
10:32859213-32870103:+	0	0	0	11	0	0	0	0	0	0	0
10:33073680-33094892:-	19	0	0	0	0	0	0	0	0	6	0
10:33141972-33152787:-	0	0	0	0	0	0	0	7	0	0	0
10:33167906-33173745:-	17	0	0	0	0	0	10	10	0	0	0
10:33229550-33231237:+	77	11	0	0	11	15	0	8	9	9	0
10:33229550-33237248:+	17	15	0	0	0	7	0	9	8	0	0
10:33407787-33423785:+	0	0	0	11	0	0	0	0	0	0	0
10:33478498-33484011:+	11	0	0	0	0	0	0	7	0	0	0
10:33920064-33923221:+	0	0	0	0	0	0	0	0	0	0	23
10:33923050-33925280:+	0	0	0	0	0	0	0	0	0	0	14
10:38395599-38396087:+	10	0	0	0	0	0	0	0	0	0	0
10:39336825-39338712:-	10	0	0	0	0	0	0	0	0	0	0
10:39336825-39368096:-	8	0	0	0	0	0	0	0	0	0	0
10:39441866-39446755:-	15	0	0	0	0	0	0	8	0	0	0
10:39441866-39450421:-	7	0	0	0	7	0	0	0	0	0	0
10:39984145-39991160:+	7	0	0	0	0	0	14	0	0	0	0
10:40015292-40018911:+	0	0	0	0	0	0	0	0	0	0	14
10:40771582-40772503:+	8	0	0	0	0	0	0	0	0	0	0
10:40771582-40774047:+	12	0	0	0	0	0	0	0	0	0	0
10:40771582-40782464:+	0	0	0	0	0	0	0	6	0	0	0
10:41386789-41403128:+	0	0	0	0	0	0	0	0	0	0	44
10:41434068-41436115:+	12	0	0	0	0	0	0	0	0	0	0
10:41673190-41725155:-	10	0	0	0	0	0	0	0	0	0	0
10:41675567-41730537:-	0	0	0	0	0	0	0	0	0	6	0
10:42147409-42194913:+	0	6	0	0	0	0	0	0	0	7	0
10:42177771-42194913:+	9	0	0	0	0	0	0	0	0	0	0
10:42192451-42194913:+	8	0	6	0	0	0	10	0	0	0	16
10:42464387-42468179:-	0	0	0	0	0	0	0	0	6	0	0
10:42468076-42479927:-	30	9	0	0	11	8	0	13	0	0	0
10:42468076-42490463:-	176	44	0	17	43	35	6	48	27	37	0
10:42552537-42555555:-	9	0	0	16	0	0	8	0	0	0	17
10:42644362-42672427:-	0	0	0	0	0	0	0	0	0	0	8
10:42646860-42647382:-	54	8	0	0	9	0	0	22	0	0	0
10:42669133-42669632:-	11	0	0	0	0	0	0	0	0	0	0
10:42670778-42672427:-	7	0	0	0	0	0	0	0	0	0	0
10:43323421-43377986:-	0	0	0	0	0	0	0	8	0	0	0
10:43373890-43377986:-	7	0	0	0	0	0	0	0	0	0	0
10:43443983-43446589:-	14	6	0	0	0	7	0	9	0	7	0
10:43448480-43453197:-	24	0	0	0	0	0	0	0	0	0	0
10:43606149-43614408:-	19	0	0	0	0	0	0	0	0	0	0
10:43967032-43996556:+	8	0	0	0	0	0	0	8	0	0	0
10:43994554-43996556:+	11	0	0	0	0	0	0	0	0	0	0
10:44909342-44954321:-	10	0	0	0	0	0	0	0	0	0	0
10:44916927-44935556:-	0	6	0	0	0	0	0	0	0	0	0
10:44916927-44947188:-	13	0	0	0	0	0	0	0	0	7	0
10:44928913-44935556:-	33	10	0	0	0	0	0	0	0	0	0
10:44928913-44947188:-	8	0	0	0	0	0	0	0	0	0	0
10:44928913-44954321:-	14	0	0	0	0	0	0	0	0	0	0
10:44934035-44935556:-	47	0	0	0	0	7	0	18	8	7	0
10:44934035-44947188:-	9	0	0	0	0	0	0	0	0	0	0
10:44934035-44954321:-	0	0	0	7	0	0	0	0	0	0	0
10:45130707-45142435:+	8	0	0	0	0	0	0	0	0	0	0
10:45401044-45401522:-	0	0	0	10	0	0	0	0	0	0	0
10:45992308-46002543:+	7	0	0	0	0	0	0	0	0	0	0
10:45992308-46006364:+	54	26	0	20	8	27	8	27	23	12	0
10:45992308-46022353:+	21	0	0	0	0	8	0	8	8	7	0
10:45992308-46027671:+	62	17	0	0	20	18	0	29	18	14	0
10:46002428-46006364:+	7	0	0	0	8	0	0	0	0	0	0
10:46002428-46022353:+	11	0	0	0	0	0	0	0	0	0	0
10:46002428-46047270:+	14	0	0	0	6	0	0	0	0	0	0
10:46538291-46569174:+	8	0	0	0	0	0	0	0	0	0	0
10:46680800-46686052:+	0	0	0	26	0	0	0	0	0	0	0
10:46680800-46694813:+	0	0	0	30	0	0	19	0	0	0	26
10:46680800-46706608:+	0	0	0	0	0	0	27	0	0	0	27
