circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	pig-testis-Testis-31	pig-testis-Testis-73	cow-testis-adult-2	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	cow-liver-B005	pig-testis-Testis-54	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	pig-liver-old-2	cow-testis-adult-3	pig-testis-Testis-05	pig-testis-Testis-65	cow-liver-K006	cow-liver-K011	cow-liver-B008	pig-testis-Testis-16	cow-liver-B022	cow-liver-K013	cow-liver-B004	pig-liver-young-2	cow-liver-B027
10:16345991-16359066:+	0	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:1641002-1682401:+	0	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
10:1641002-1705222:+	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
10:1641002-1734060:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1641002-1740470:+	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
10:16460133-16499371:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16460133-16510634:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:16460133-16522506:-	0	0	0	19	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16490535-16522506:-	0	0	0	19	0	0	0	0	7	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0
10:16490535-16607933:-	0	0	0	6	15	0	0	0	7	0	10	0	0	0	0	0	0	0	14	9	0	0	0	12	0	0	0	0	0
10:16499156-16522506:-	0	0	0	57	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0
10:16499156-16607933:-	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0
10:16510505-16543241:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16510505-16607933:-	0	0	0	56	17	0	0	0	43	0	37	0	0	0	0	0	0	0	48	19	0	0	0	31	0	0	0	0	0
10:16510505-16730354:-	0	0	0	0	10	0	0	0	7	0	13	0	0	0	0	0	0	0	10	6	0	0	0	8	0	0	0	0	0
10:16522383-16569899:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:16522383-16607933:-	0	0	0	53	17	0	0	0	17	0	22	0	0	0	0	0	0	0	43	9	0	0	0	17	0	0	0	0	0
10:16522383-16730354:-	0	0	0	12	8	0	0	0	8	0	16	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:16541737-16607933:-	0	0	0	57	25	0	0	0	29	0	18	0	0	0	0	0	0	0	31	9	0	0	0	18	0	0	0	0	0
10:16541737-16730354:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:16560320-16607933:-	0	0	0	89	38	0	0	0	35	0	30	0	0	0	0	0	0	0	40	14	0	0	0	38	0	0	0	0	0
10:16560320-16730354:-	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16569754-16607933:-	0	0	0	51	22	0	0	0	26	0	28	0	0	0	0	0	0	0	33	9	0	0	0	20	0	0	0	0	0
10:16569754-16730354:-	0	0	0	12	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
10:16585539-16730354:-	0	0	0	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:17229218-17247667:-	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:17310053-17347866:+	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:17315507-17347866:+	0	0	0	43	0	0	0	0	17	0	23	0	0	0	0	0	0	0	20	0	0	0	0	18	0	0	0	0	0
