circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:43076334-43080112:-	0	0	0	0	0	11	6	0	0	10	0	0	0	0	0	0	0	0
10:43101511-43132803:-	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0
10:43109954-43132803:-	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
10:43177986-43214396:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:43188319-43214396:-	44	0	24	0	31	0	0	33	27	0	0	28	40	29	34	39	29	22
10:43369377-43384718:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:43537611-43541372:-	0	0	0	0	0	14	11	0	0	10	0	0	0	0	0	0	0	0
10:44868318-44869288:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:44904975-44908936:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:45555428-45556302:-	0	6	0	20	6	11	9	0	0	14	13	0	0	0	0	0	0	0
10:45613220-45614472:-	22	0	22	0	10	22	25	21	23	25	14	11	15	19	13	6	10	33
10:45778335-45781795:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:46235564-46243086:+	0	0	0	0	0	0	9	0	0	6	0	6	0	0	0	0	7	0
10:46358343-46359432:+	7	9	0	11	0	54	60	0	0	43	13	0	0	0	0	0	6	7
10:46376270-46378158:+	0	0	0	0	0	16	8	0	0	8	0	0	0	0	0	0	0	0
10:46455046-46463789:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:46455046-46485029:-	12	6	12	0	15	25	39	0	19	25	0	15	13	16	12	15	9	16
10:46463705-46485029:-	10	0	0	0	6	0	0	0	9	0	0	7	6	8	8	6	6	11
10:4733687-4737196:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
10:48082982-48093260:+	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	9	0	0
10:48102829-48110773:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:48119821-48123088:+	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
10:48140465-48143066:+	0	0	0	0	0	6	9	0	0	9	0	0	0	0	0	0	0	0
10:48140465-48144363:+	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:48144215-48157666:+	0	0	0	0	0	17	22	0	0	0	0	0	0	0	0	0	0	0
10:48176925-48188550:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
10:4872665-4878989:+	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
10:4872665-4889828:+	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0
10:49708806-49731152:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
10:49711550-49718850:+	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
10:5040279-5040660:-	0	0	0	7	0	0	9	0	0	10	0	0	0	0	0	0	0	0
10:5051893-5061791:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:51254536-51260738:-	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:51254536-51282039:-	0	7	0	8	0	8	10	0	0	8	11	0	0	0	0	0	0	0
10:51281140-51282039:-	90	162	80	172	55	290	321	82	88	291	156	68	104	88	109	157	108	94
10:51573882-51602125:+	0	0	0	0	0	28	51	0	0	22	10	0	0	0	0	0	0	0
10:52274562-52274995:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:52274562-52278235:+	0	7	0	0	0	7	21	0	0	8	0	0	0	0	0	0	0	0
10:52274562-52296744:+	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
