circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
28:29134787-29141823:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
28:29138324-29141823:-	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28:29535099-29538572:-	0	0	0	0	0	13	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
28:30002953-30004100:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
28:30279114-30463115:+	0	0	0	12	0	0	0	0	7	0	0	9	0	0	0	0	8	6	7	7	0	0	11	0	0
28:3689423-3696521:-	0	0	0	18	0	0	7	0	27	14	0	33	18	0	7	21	17	32	15	32	0	0	22	6	0
28:39309318-39312080:+	0	0	0	0	24	12	0	0	0	0	0	6	0	0	19	0	0	0	0	0	0	0	0	12	15
28:39358974-39396819:+	0	0	0	0	6	17	0	0	0	0	0	9	0	0	37	0	8	7	0	0	0	0	0	25	14
28:39376244-39396819:+	0	0	0	0	0	21	0	0	0	0	0	0	0	0	30	0	0	0	0	0	8	0	0	13	8
28:41211231-41214355:-	0	0	0	8	48	32	8	0	6	0	0	0	11	0	17	0	7	9	0	10	14	0	0	15	46
28:42778074-42787997:+	0	0	0	26	11	81	37	0	28	49	0	40	36	0	55	32	47	65	27	51	9	0	30	70	6
28:43935896-43968265:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
28:44007769-44010445:-	0	0	0	0	0	9	0	0	0	7	0	0	0	0	8	0	7	0	0	0	8	0	0	11	11
28:44166839-44167140:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
28:6219554-6229550:+	0	0	0	0	11	174	0	0	0	0	0	0	0	0	144	0	0	0	0	0	22	0	0	143	14
28:6219554-6241561:+	0	0	0	0	0	26	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	12	0
28:7995539-8011371:-	0	0	0	9	16	9	0	0	0	0	0	16	0	0	16	0	0	9	0	16	7	0	7	22	15
28:8000803-8011371:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0
28:8218857-8240316:-	0	0	0	6	0	24	0	0	0	12	0	9	8	0	19	0	0	13	0	0	0	0	0	12	8
28:8229700-8240316:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
28:8385967-8399981:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	8
28:8716753-8724926:-	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0
29:1032387-1039763:-	0	0	0	11	8	77	11	0	17	11	0	21	12	0	90	17	9	26	18	16	10	0	19	58	6
29:12447862-12468136:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	0	0	0	7
29:12453175-12468133:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
29:12786509-12801846:+	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29:17459349-17471087:+	0	0	0	11	0	29	0	0	16	12	0	6	7	0	21	6	12	9	11	7	8	0	12	32	9
29:17562568-17576253:+	0	0	0	6	12	28	0	0	7	0	0	6	0	0	21	0	0	0	0	0	0	0	7	14	17
29:17736711-17737012:+	0	0	0	0	0	17	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	13	6
29:18115426-18127343:+	0	0	0	0	19	21	0	0	0	0	0	0	0	0	18	0	0	0	0	0	11	0	0	10	22
29:22113152-22148369:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
29:24486306-24523204:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29:26363148-26367528:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	9	0
29:32384950-32402206:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
29:32397197-32402206:-	0	0	0	0	0	13	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
29:32435263-32449774:-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
29:36162678-36167328:-	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29:36296705-36297847:+	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29:36428167-36429241:-	0	0	0	35	82	106	36	0	17	41	0	27	34	0	140	25	22	54	35	30	53	0	20	129	82
29:42016804-42031740:-	0	0	0	0	14	18	0	0	0	0	0	0	0	0	13	0	0	7	0	0	0	0	6	17	0
29:45689465-45699452:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
29:45855747-45857137:+	0	0	0	7	0	24	7	0	0	7	0	7	9	0	38	0	6	0	0	7	0	0	8	22	0
29:46144765-46152201:-	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	17
29:48660434-48665690:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
