gene_id	ssc_liver_1	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_liver_10	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9	ssc_testis_10
ENSSSCG00000041064	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	4.0	1.0	0.0	0.0
ENSSSCG00000041066	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	3.0	2.0	5.0	2.0	2.0	4.0	0.0	0.0	4.0
ENSSSCG00000041067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0
ENSSSCG00000041068	0.0	3.0	0.0	0.0	1.0	5.0	5.0	3.0	6.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	5.0	1.0	6.0	0.0	2.0	26.0
ENSSSCG00000041069	0.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	5.0	26.0	25.0	1.0	13.0	12.0	11.0	8.0	8.0	12.0	30.0	19.0	38.0
ENSSSCG00000041070	3.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	3.0	1.0	0.0
ENSSSCG00000041071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	23.0	8.0	15.0	15.0	33.0	18.0	47.0	19.0	8.0
ENSSSCG00000041072	2.0	13.0	0.0	0.0	11.0	10.0	25.0	6.0	20.0	11.0	0.0	6.0	7.0	14.0	84.0	203.0	247.0	273.16	174.0	223.0	231.0	150.0	168.0	52.0
ENSSSCG00000041073	2.0	2.0	16.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0
ENSSSCG00000041074	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	4.0	10.0	4.99	10.0	7.0	6.0	13.0	40.0	28.0	9.0
ENSSSCG00000041075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	32.0	35.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
ENSSSCG00000041076	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	23.0	30.0	35.0	18.0	22.0	25.0	217.0	181.0	41.0
ENSSSCG00000041077	1.0	0.0	0.0	18.0	14.0	9.0	11.0	4.0	13.0	3.0	0.0	4.0	8.0	3.0	4.0	16.03	8.0	14.0	7.0	11.0	12.99	37.0	26.0	25.0
ENSSSCG00000041079	1.0	0.0	0.0	1.0	2.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	2.0	3.0	6.0	2.0	17.0	51.0	1.0
ENSSSCG00000041080	11.0	13.0	0.0	18.0	120.0	128.0	167.0	44.0	170.0	109.0	0.0	34.0	32.0	28.0	12.0	37.0	30.0	49.0	22.0	47.0	51.0	65.0	48.0	81.0
ENSSSCG00000041081	0.0	0.0	0.0	0.0	1.19	0.0	2.61	0.0	3.46	0.0	0.0	2.34	0.0	2.0	1.28	4.63	3.16	5.23	2.92	8.1	13.53	13.42	4.16	6.8
ENSSSCG00000041083	4.95	5.1	1.0	0.0	31.98	22.31	13.39	11.22	4.27	4.61	0.0	2.0	9.0	2.59	475.89	1442.36	1183.01	823.64	554.36	577.36	863.63	727.14	1112.01	245.13
ENSSSCG00000041084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	207.0	120.0	66.0	51.0	66.0	80.0	25.0	95.0	13.0
ENSSSCG00000041085	0.0	0.0	0.0	0.0	9.0	13.0	22.0	3.0	10.0	0.0	0.0	1.0	7.0	7.0	5.0	8.0	11.0	12.0	14.0	6.0	10.0	33.0	23.0	17.0
ENSSSCG00000041087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	318.0	686.0	724.0	401.0	1093.0	1051.0	3.0	12.0	18.0
ENSSSCG00000041089	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	2.0	6.0	11.0	7.0	26.0	22.0	22.0	5.0
ENSSSCG00000041091	0.0	0.0	0.0	0.0	15.0	5.0	7.0	6.0	18.0	4.0	0.0	0.0	0.0	0.0	8.0	12.0	14.0	33.0	5.0	7.0	8.0	12.0	8.0	4.0
ENSSSCG00000041092	3.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	6.0	8.0	16.0	10.0	8.0	3.0	4.0	7.0	7.0	5.0
ENSSSCG00000041093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	3.0	0.0	5.0	1.0	1.0	4.0	0.0	0.0
ENSSSCG00000041094	3.0	4.0	18.0	7.0	25.0	20.0	24.0	12.0	28.99	9.0	0.0	0.0	4.0	2.0	90.0	211.0	161.0	184.0	113.0	211.66	180.0	298.0	304.18	148.0
ENSSSCG00000041095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	3.0	1.0	0.0	2.0	15.0	9.0	2.0
ENSSSCG00000041096	6.0	7.67	0.0	31.0	53.51	38.84	60.71	24.2	59.89	44.85	2.0	16.18	9.22	23.96	7.03	6.69	2.99	15.63	5.46	12.02	25.62	43.72	10.5	60.28
ENSSSCG00000041097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	68.0	59.0	66.0	78.0	50.0	67.0	61.0	84.0	69.0	28.0
ENSSSCG00000041098	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	6.0	7.43	11.12	14.83	10.27	9.22	15.33	21.7	23.66	27.03	3.25
