gene_id	ssc_liver_1	ssc_liver_10	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_10	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9
ENSSSCG00000027686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	7.0	8.0	9.0	2.0	10.0	4.0	8.0	0.0
ENSSSCG00000027722	8.0	4.0	4.0	39.0	0.0	5.0	0.0	6.0	5.0	3.0	0.0	0.0	0.0	3.0	33.0	3.0	17.0	4.0	8.0	4.0	12.0	8.0	1.0	6.0
ENSSSCG00000027725	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0
ENSSSCG00000027738	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	22.0	12.0	20.0	21.0	0.0	0.0	8.0	7.0	1.0	1.0	5.0	0.0	0.0
ENSSSCG00000027765	2.0	1.0	0.0	0.0	0.0	2.0	3.0	3.0	1.0	1.0	0.0	5.0	10.0	19.0	93.0	7.0	46.0	31.0	29.0	21.0	43.0	38.0	16.0	10.0
ENSSSCG00000027770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	3.0	35.0	24.0	24.0	16.0	12.0	15.0	6.0	11.0
ENSSSCG00000027778	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	2.0	4.0	4.0	0.0	1.0	0.0	0.0
ENSSSCG00000027846	51.0	8.0	18.0	0.0	28.0	15.0	0.0	21.0	14.0	23.0	0.0	0.0	26.0	0.0	49.0	21.0	30.0	42.0	16.0	33.0	39.0	29.0	0.0	15.0
ENSSSCG00000027857	8.0	1.0	3.0	0.0	17.0	8.0	2.0	4.0	5.0	9.0	0.0	4.0	3.0	0.0	226.0	4.0	70.0	46.0	68.0	35.0	48.0	59.0	27.0	3.0
ENSSSCG00000027865	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.0	7.0	54.0	55.0	40.0	27.0	26.0	33.0	2.0	0.0
ENSSSCG00000027872	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	13.0	8.0	3.0	5.0	5.0	10.0	0.0	0.0
ENSSSCG00000027902	0.0	0.0	2.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0	2.0	3.0	2.0	4.0	0.0	0.0
ENSSSCG00000027935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	13.0	6.0	3.0	10.0	0.0	0.0	0.0	0.0
ENSSSCG00000027946	31.0	0.0	25.0	0.0	22.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	5.0	2.0	3.0	4.0	7.0	2.0	0.0	4.0
ENSSSCG00000027997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0	1.0	4.0	1.0	2.0	0.0	0.0
ENSSSCG00000028018	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	3.0	1.0	7.0	0.0	4.0	0.0	0.0	0.0
ENSSSCG00000028020	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	13.0	7.0	7.0	3.0	14.0	14.0	2.0	2.0
ENSSSCG00000028033	17.0	1.0	27.0	76.0	46.0	5.0	4.0	3.0	2.0	0.0	0.0	0.0	11.0	0.0	37.0	19.0	39.0	30.0	28.0	8.0	42.0	36.0	12.0	6.0
ENSSSCG00000028035	5.0	0.0	6.0	30.0	0.0	7.0	0.0	1.0	2.0	5.0	0.0	0.0	3.0	0.0	7.0	12.0	6.0	8.0	7.0	5.0	16.0	9.0	8.0	10.0
ENSSSCG00000028060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	19.0	6.0	1.0	5.0	7.0	4.0	0.0	5.0
ENSSSCG00000028097	9.0	4.0	4.0	0.0	11.0	0.0	0.0	9.0	5.0	3.0	0.0	0.0	15.0	12.0	58.0	11.0	16.0	15.0	15.0	16.0	21.0	24.0	10.0	10.0
ENSSSCG00000028108	10.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	11.0	5.0	7.0	5.0	5.0	5.0	0.0	5.0
ENSSSCG00000028109	13.0	0.0	13.0	0.0	23.0	6.0	9.0	8.0	5.0	1.0	0.0	0.0	0.0	0.0	52.0	17.0	14.0	14.0	11.0	10.0	3.0	9.0	6.0	15.0
ENSSSCG00000028117	15.0	6.0	19.0	14.0	48.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	101.0	0.0	20.0	22.0	12.0	18.0	20.0	28.0	2.0	1.0
ENSSSCG00000028122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	4.0	30.0	19.0	23.0	14.0	15.0	21.0	15.0	21.0
ENSSSCG00000028135	0.0	0.0	2.0	0.0	0.0	1.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	18.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSSSCG00000028148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	16.0	21.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSSSCG00000028169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	37.0	26.0	23.0	7.0	22.0	12.0	8.0	9.0
ENSSSCG00000028178	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	9.0	0.0	5.0	0.0	1.0	3.0	0.0	4.0	0.0	0.0
ENSSSCG00000028182	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0	3.0	15.0	14.0	5.0	11.0	7.0	2.0	0.0	0.0
ENSSSCG00000028201	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	48.0	3.0	22.0	10.0	24.0	2.0	10.0	11.0	0.0	6.0
ENSSSCG00000028225	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	13.0	8.0	5.0	3.0	12.0	15.0	4.0	0.0
ENSSSCG00000028228	0.0	3.0	0.0	0.0	0.0	1.0	1.0	3.0	6.0	2.0	0.0	2.0	0.0	0.0	109.0	4.0	26.0	14.0	9.0	8.0	18.0	19.0	0.0	0.0
ENSSSCG00000028249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	3.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0
ENSSSCG00000028258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	20.0	0.0	6.0	3.0	2.0	3.0	4.0	1.0	0.0	0.0
ENSSSCG00000028293	13.0	2.0	8.0	9.0	11.0	26.0	4.0	17.0	4.0	2.0	3.0	11.0	16.0	13.0	106.0	13.0	44.0	40.0	38.0	19.0	34.0	43.0	28.0	21.0
ENSSSCG00000028317	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ENSSSCG00000028327	4.0	2.0	7.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	26.0	3.0	4.0	2.0	0.0	6.0	1.0	2.0	0.0	1.0	3.0	0.0
ENSSSCG00000028345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSSSCG00000028406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	2.0	0.0	4.0	2.0	2.0	2.0	2.0
ENSSSCG00000028423	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	8.0	1.0	11.0	6.0	3.0	0.0	0.0
ENSSSCG00000028431	24.0	13.0	12.0	0.0	29.0	8.0	9.0	6.0	29.0	6.0	0.0	1.0	3.0	0.0	47.0	7.0	14.0	18.0	7.0	3.0	28.0	11.0	0.0	5.0
ENSSSCG00000028458	17.0	15.0	13.0	0.0	18.0	27.0	38.0	53.0	28.0	14.0	0.0	13.0	44.0	16.0	189.0	43.0	50.0	35.0	46.0	52.0	60.0	37.0	0.0	0.0
ENSSSCG00000028461	13.0	0.0	9.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSSSCG00000028465	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	10.0	21.0	0.0	13.0	4.0	5.0	2.0	4.0	5.0	4.0	0.0
ENSSSCG00000028475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	4.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0
ENSSSCG00000028485	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
ENSSSCG00000028506	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	2.0	5.0	0.0	1.0	4.0	0.0	0.0
ENSSSCG00000028512	330.0	18.0	126.0	257.0	227.0	20.0	27.0	33.0	34.0	31.0	11.0	0.0	2.0	4.0	93.0	57.0	52.0	37.0	35.0	23.0	27.0	24.0	46.0	5.0
ENSSSCG00000028516	7.0	6.0	22.0	0.0	54.0	9.0	4.0	8.0	23.0	5.0	0.0	10.0	11.0	4.0	193.0	16.0	64.0	50.0	51.0	42.0	66.0	67.0	20.0	8.0
ENSSSCG00000028537	4.0	0.0	0.0	32.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSSSCG00000028585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	4.0	3.0	0.0	2.0	2.0	0.0	0.0	0.0
ENSSSCG00000028600	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
